node_id;name;valid_dir;pk_rel;pk_abs;node_type;stop_slow;stop_fast;y;altitude;coord_x;coord_y;scenario;exclude_scenario
Pa_E_STA_61;Part. Est. Stava 61;merano;19,381;50,864;signal_mainline;0;0;0;551,86;10,977408;46,646923;base;
Pr_I_STA_51;Prot. Int. Stava 51;malles;19,523;51,006;signal_mainline;0;0;0;553,69;10,975558;46,646943;base;
Dev_STA_01;Deviatoio Stava 01;;19,573;51,056;SC;0;0;0;554;10,974921;46,64689;base;
Pa_I_STA_31;Part. Int. Stava 31;merano;19,683;51,166;signal_mainline;0;0;0;554;10,973459;46,646776;base;
STA;Stava;;19,797;51,28;LdS;1;0;0;554;10,972008;46,646626;base;
Pa_I_STA_32;Part. Int. Stava 32;malles;19,863;51,346;signal_mainline;0;0;0;554;10,97115;46,646549;base;
Dev_STA_02;Deviatoio Stava 02;;19,949;51,432;SC;0;0;0;554;10,969983;46,646396;base;
Pr_I_STA_52;Prot. Int. N1 Stava 52;merano;19,999;51,482;signal_mainline;0;0;0;554;10,969352;46,646326;base;
Pa_E_STA_62;Part. Est. Stava 62;malles;20,275;51,758;signal_mainline;0;0;0;554;10,966155;46,645317;base;
PL12;PL12;;20,298;51,781;PL;0;0;0;554;10,965872;46,645285;base;
Pr_I_STA_72;Prot. Int. N2 Stava 72;merano;20,325;51,808;signal_mainline;0;0;0;554;10,965509;46,645252;base;
Pr_E_STA_02;Prot. Est. Stava 02;merano;20,426;51,909;signal_mainline;0;0;0;554,09;10,964261;46,644971;base;
km52000;km52000;;20,517;52;km;0;0;0;554,39;10,963234;46,644559;base;
Dev_PL13_01;Deviatoio PL13 01;;21,429;52,912;SC;0;0;0;557,38;10,952986;46,640421;base;
Pr_E_PL13_01;Prot. Est. PL13 01;malles;21,479;52,962;signal_mainline;0;0;0;557,55;10,95242;46,640189;base;
SblStab21529;SblStab21529;;21,529;53,012;Sbl;0;0;0;557,72;10,951848;46,639959;base;
Pr_I_PL13_51;Prot. Int. PL13 51;malles;21,582;53,065;signal_mainline;0;0;0;557,89;10,951476;46,6398;base;
PL13;PL13;;21,606;53,089;PL;0;0;0;557,97;10,951129;46,639657;base;
Pr_I_PL13_52;Prot. Int. PL13 52;merano;21,63;53,113;signal_mainline;0;0;0;558,05;10,950751;46,639502;base;
Pr_E_PL13_02;Prot. Est. PL13 02;merano;21,733;53,216;signal_mainline;0;0;0;558,39;10,949552;46,639005;base;
Pr_E_CIA_01;Prot. Est. Ciardes 01;malles;22,307;53,79;signal_mainline;0;0;0;560,27;10,943112;46,636369;base;
Pa_CIA_31;Part. Ciardes 31;merano;22,457;53,94;signal_mainline;0;0;0;560,76;10,941377;46,635669;base;
CIA;Ciardes;;22,578;54,061;LdS;1;0;0;561;10,940368;46,635264;base;
Pa_CIA_32;Part. Ciardes 32;malles;22,605;54,088;signal_mainline;0;0;0;561;10,939969;46,6351;base;
PL14;PL14;;22,629;54,112;PL;0;0;0;561;10,939631;46,63496;base;
Pr_I_CIA_62;Prot. Int. Ciardes 62;merano;22,653;54,136;signal_mainline;0;0;0;561;10,939204;46,634791;base;
Pr_E_CIA_02;Prot. Est. Ciardes 02;merano;22,756;54,239;signal_mainline;0;0;0;561,21;10,938043;46,634312;base;
HD_403_02;HD 403/02;both;23,756;55,239;signal_mainline;0;0;0;569,08;10,926794;46,629739;base;
km55900;km55900;;24,417;55,9;km;0;0;0;574,28;10,919414;46,626677;base;
SblStab24529;SblStab24529;;24,529;56,012;Sbl;0;0;0;575,16;10,918157;46,626162;base;
Pr_E_PL15_01;Prot. Est. PL15 01;malles;24,625;56,108;signal_mainline;0;0;0;575,92;10,917138;46,625815;base;
Dev_PL15_01;Deviatoio PL15 01;;24,725;56,208;SC;0;0;0;576,71;10,915979;46,625528;base;
