"Data";"Template";"Treno";"OraP";"OraA";"Partenza";"Rit.";"Causale";"Nota partenza";"Arrivo";"Rit.";"Causale";"Nota arrivo";"Composizione";"Coincidenza";"Esito";"Causale soppressione";"Nota soppressione";"Verifica";"Chiusura"
"2023-01-01";"23-int";"7021";"2023-01-01 15:31:00";"2023-01-01 16:38:00";"Meran/o (Var.)";"";"";"";"Malles - Mals";"";"";"";"Doppia";"NP";"";"";"";"OK";"OK"
"2023-01-01";"23-int";"7049";"2023-01-01 16:02:00";"2023-01-01 16:55:00";"Meran/o (Var.)";"";"";"";"Malles - Mals";"";"";"";"Doppia";"NP";"";"";"";"OK";"OK"
"2023-01-01";"23-int";"7024";"2023-01-01 16:20:00";"2023-01-01 17:25:00";"Malles - Mals";"";"";"";"Meran/o (Var.)";"";"";"";"Doppia";"NP";"";"";"";"OK";"OK"
"2023-01-01";"23-int";"7023";"2023-01-01 16:35:00";"2023-01-01 17:38:00";"Meran/o (Var.)";"";"";"";"Malles - Mals";"";"";"";"Singola";"NP";"";"";"";"OK";"OK"
"2023-01-01";"23-int";"7050";"2023-01-01 17:03:00";"2023-01-01 17:57:00";"Malles - Mals";"";"";"";"Meran/o (Var.)";"";"";"";"Doppia";"NP";"";"";"";"OK";"OK"
"2023-01-01";"23-int";"7026";"2023-01-01 17:20:00";"2023-01-01 18:25:00";"Malles - Mals";"";"";"";"Meran/o (Var.)";"";"";"";"Doppia";"NP";"";"";"";"OK";"OK"
"2023-01-01";"23-int";"7025";"2023-01-01 17:31:00";"2023-01-01 18:38:00";"Meran/o (Var.)";"";"";"";"Malles - Mals";"";"";"";"Doppia";"NP";"";"";"";"OK";"OK"
"2023-01-01";"23-int";"7051";"2023-01-01 18:02:00";"2023-01-01 18:55:00";"Meran/o (Var.)";"";"";"";"Malles - Mals";"";"";"";"Doppia";"NP";"";"";"";"OK";"OK"
"2023-01-01";"23-int";"7028";"2023-01-01 18:20:00";"2023-01-01 19:25:00";"Malles - Mals";"";"";"";"Meran/o (Var.)";"";"";"";"Singola";"NP";"";"";"";"OK";"OK"
"2023-01-01";"23-int";"7027";"2023-01-01 18:35:00";"2023-01-01 19:38:00";"Meran/o (Var.)";"";"";"";"Malles - Mals";"";"";"";"Doppia";"NP";"";"";"";"OK";"OK"
"2023-01-01";"23-int";"7052";"2023-01-01 19:03:00";"2023-01-01 19:57:00";"Malles - Mals";"";"";"";"Meran/o (Var.)";"";"";"";"Doppia";"NP";"";"";"";"OK";"OK"
"2023-01-01";"23-int";"7030";"2023-01-01 19:20:00";"2023-01-01 20:25:00";"Malles - Mals";"";"";"";"Meran/o (Var.)";"";"";"";"Singola";"NP";"";"";"";"OK";"OK"
"2023-01-01";"23-int";"7029";"2023-01-01 19:31:00";"2023-01-01 20:38:00";"Meran/o (Var.)";"";"";"";"Malles - Mals";"";"";"";"Doppia";"NP";"";"";"";"OK";"OK"
"2023-01-01";"23-int";"7031";"2023-01-01 20:00:00";"2023-01-01 20:55:00";"Meran/o (Var.)";"";"";"";"Malles - Mals";"";"";"";"Singola";"NP";"";"";"";"OK";"OK"
"2023-01-01";"23-int";"7032";"2023-01-01 20:20:00";"2023-01-01 21:25:00";"Malles - Mals";"";"";"";"Meran/o (Var.)";"";"";"";"Doppia";"NP";"";"";"";"OK";"OK"
"2023-01-01";"23-int";"7033";"2023-01-01 21:00:00";"2023-01-01 21:55:00";"Meran/o (Var.)";"";"";"";"Malles - Mals";"";"";"";"Singola";"NP";"";"";"";"OK";"OK"
"2023-01-01";"23-int";"7034";"2023-01-01 21:20:00";"2023-01-01 22:25:00";"Malles - Mals";"";"";"";"Meran/o (Var.)";"";"";"";"Singola";"NP";"";"";"";"OK";"OK"
"2023-01-01";"23-int";"7035";"2023-01-01 22:00:00";"2023-01-01 22:55:00";"Meran/o (Var.)";"";"";"";"Malles - Mals";"";"";"";"Singola";"NP";"";"";"";"OK";"OK"
"2023-01-01";"23-int";"7037";"2023-01-01 23:00:00";"2023-01-01 23:55:00";"Meran/o (Var.)";"";"";"";"Malles - Mals";"";"";"";"Singola";"NP";"";"";"";"OK";"OK"
"2023-01-02";"23-int";"7000";"2023-01-02 05:18:00";"2023-01-02 06:12:00";"Malles - Mals";"";"";"";"Meran/o (Var.)";"";"";"";"Singola";"NP";"";"";"";"OK";"OK"
"2023-01-02";"23-int";"7002";"2023-01-02 05:40:00";"2023-01-02 06:37:00";"Malles - Mals";"";"";"";"Meran/o (Var.)";"";"";"";"Doppia";"NP";"";"";"";"OK";"OK"
"2023-01-02";"23-int";"7001";"2023-01-02 05:48:00";"2023-01-02 06:53:00";"Meran/o (Var.)";"";"";"";"Malles - Mals";"";"";"";"Doppia";"NP";"";"";"";"OK";"OK"
"2023-01-02";"23-int";"7004";"2023-01-02 06:16:00";"2023-01-02 07:16:00";"Malles - Mals";"";"";"";"Meran/o (Var.)";"";"";"";"Doppia";"NP";"";"";"";"OK";"OK"
"2023-01-02";"23-int";"7003";"2023-01-02 06:52:00";"2023-01-02 07:54:00";"Meran/o (Var.)";"";"";"";"Malles - Mals";"";"";"";"Doppia";"NP";"";"";"";"OK";"OK"
"2023-01-02";"23-int";"7040";"2023-01-02 07:01:00";"2023-01-02 07:57:00";"Malles - Mals";"";"";"";"Meran/o (Var.)";"";"";"";"Doppia";"NP";"";"";"";"OK";"OK"
"2023-01-02";"23-int";"7006";"2023-01-02 07:20:00";"2023-01-02 08:25:00";"Malles - Mals";"";"";"";"Meran/o (Var.)";"";"";"";"Singola";"NP";"";"";"";"OK";"OK"
"2023-01-02";"23-int";"7005";"2023-01-02 07:31:00";"2023-01-02 08:38:00";"Meran/o (Var.)";"";"";"";"Malles - Mals";"";"";"";"Doppia";"NP";"";"";"";"OK";"OK"
"2023-01-02";"23-int";"7041";"2023-01-02 08:02:00";"2023-01-02 08:55:00";"Meran/o (Var.)";"";"";"";"Malles - Mals";"";"";"";"Singola";"NP";"";"";"";"OK";"OK"
"2023-01-02";"23-int";"7008";"2023-01-02 08:20:00";"2023-01-02 09:25:00";"Malles - Mals";"";"";"";"Meran/o (Var.)";"";"";"";"Doppia";"NP";"";"";"";"OK";"OK"
"2023-01-02";"23-int";"7007";"2023-01-02 08:35:00";"2023-01-02 09:38:00";"Meran/o (Var.)";"";"";"";"Malles - Mals";"";"";"";"Singola";"NP";"";"";"";"OK";"OK"
"2023-01-02";"23-int";"7042";"2023-01-02 09:03:00";"2023-01-02 09:57:00";"Malles - Mals";"";"";"";"Meran/o (Var.)";"";"";"";"Singola";"NP";"";"";"";"OK";"OK"
"2023-01-02";"23-int";"7010";"2023-01-02 09:20:00";"2023-01-02 10:25:00";"Malles - Mals";"";"";"";"Meran/o (Var.)";"";"";"";"Doppia";"NP";"";"";"";"OK";"OK"
"2023-01-02";"23-int";"7009";"2023-01-02 09:31:00";"2023-01-02 10:38:00";"Meran/o (Var.)";"";"";"";"Malles - Mals";"";"";"";"Doppia";"NP";"";"";"";"OK";"OK"
"2023-01-02";"23-int";"7043";"2023-01-02 10:02:00";"2023-01-02 10:55:00";"Meran/o (Var.)";"";"";"";"Malles - Mals";"";"";"";"Doppia";"NP";"";"";"";"OK";"OK"
"2023-01-02";"23-int";"7012";"2023-01-02 10:20:00";"2023-01-02 11:25:00";"Malles - Mals";"";"";"";"Meran/o (Var.)";"";"";"";"Singola";"NP";"";"";"";"OK";"OK"
