"Data";"Template";"Treno";"OraP";"OraA";"Partenza";"Rit.";"Causale";"Nota partenza";"Arrivo";"Rit.";"Causale";"Nota arrivo";"Composizione";"Coincidenza";"Esito";"Causale soppressione";"Nota soppressione";"Verifica";"Chiusura"
"2019-01-01";"19-I";"131";"2019-01-01 19:46:00";"2019-01-01 20:55:00";"Meran/o";"";"";"";"Malles - Mals";"";"";"";"Singola";"SI";"";"";"";"OK";"OK"
"2019-01-01";"19-I";"132";"2019-01-01 20:20:00";"2019-01-01 21:39:00";"Malles - Mals";"";"";"";"Meran/o";"";"";"";"Singola";"SI";"";"";"";"OK";"OK"
"2019-01-01";"19-I";"133";"2019-01-01 20:46:00";"2019-01-01 21:55:00";"Meran/o";"";"";"";"Malles - Mals";"";"";"";"Singola";"SI";"";"";"";"OK";"OK"
"2019-01-01";"19-I";"134";"2019-01-01 21:20:00";"2019-01-01 22:39:00";"Malles - Mals";"";"";"";"Meran/o";"";"";"";"Singola";"NP";"";"";"";"OK";"OK"
"2019-01-01";"19-I";"135";"2019-01-01 21:46:00";"2019-01-01 22:55:00";"Meran/o";"4";"Ritardo da Bolzano";"";"Malles - Mals";"2";"Ritardo altre reti";"";"Singola";"SI";"";"";"";"OK";"OK"
"2019-01-01";"19-I";"137";"2019-01-01 22:50:00";"2019-01-01 23:58:00";"Meran/o";"";"";"";"Malles - Mals";"";"";"";"Singola";"SI";"";"";"";"OK";"OK"
"2019-01-02";"19-I";"100";"2019-01-02 05:20:00";"2019-01-02 06:30:00";"Malles - Mals";"";"";"";"Meran/o";"";"";"";"Doppia";"SI";"";"";"";"OK";"OK"
"2019-01-02";"19-I";"101";"2019-01-02 05:38:00";"2019-01-02 06:54:00";"Meran/o";"";"";"";"Malles - Mals";"";"";"";"Doppia";"NP";"";"";"";"OK";"OK"
"2019-01-02";"19-I";"102";"2019-01-02 05:42:00";"2019-01-02 06:54:00";"Malles - Mals";"";"";"";"Meran/o";"";"";"";"Doppia";"SI";"";"";"";"OK";"OK"
"2019-01-02";"19-I";"104";"2019-01-02 06:16:00";"2019-01-02 07:32:00";"Malles - Mals";"";"";"";"Meran/o";"";"";"";"Doppia";"SI";"";"";"";"OK";"OK"
